epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5536,2.04672,3.77316,1.36984,0.78321,0.64734,0.80029,0.38192,1.72874,2.18248,1.20081,0.000414508,0.000414508,0.000414508
2,52.0807,1.685,1.77259,1.18433,0.76352,0.65816,0.75801,0.37782,1.7887,1.58817,1.25175,0.000814717,0.000814717,0.000814717
3,74.7164,1.67182,1.29976,1.16892,0.85424,0.85215,0.91576,0.48903,1.57765,0.97811,1.12428,0.00119843,0.00119843,0.00119843
4,98.6209,1.63598,1.10286,1.14774,0.85308,0.85061,0.89537,0.47968,1.61204,0.93491,1.1495,0.00117575,0.00117575,0.00117575
5,121.961,1.57662,1.00953,1.12168,0.89873,0.90534,0.94468,0.52211,1.57833,0.86006,1.09492,0.001151,0.001151,0.001151
6,146.869,1.53089,0.92372,1.09947,0.92637,0.87616,0.95008,0.55836,1.48042,0.81202,1.07888,0.00112625,0.00112625,0.00112625
7,178.379,1.52259,0.90151,1.106,0.94775,0.92398,0.96799,0.56349,1.47381,0.7656,1.06248,0.0011015,0.0011015,0.0011015
8,203.799,1.4721,0.84503,1.08265,0.91178,0.9168,0.96327,0.56192,1.48359,0.76699,1.07405,0.00107675,0.00107675,0.00107675
9,226.395,1.4316,0.82039,1.06966,0.94231,0.92324,0.97236,0.5687,1.44198,0.75766,1.05605,0.001052,0.001052,0.001052
10,247.528,1.42291,0.80675,1.06043,0.93848,0.91764,0.97194,0.57407,1.44894,0.75802,1.05675,0.00102725,0.00102725,0.00102725
11,268.315,1.43472,0.78667,1.06172,0.97004,0.94315,0.97961,0.58657,1.41885,0.68543,1.04778,0.0010025,0.0010025,0.0010025
12,289.141,1.40308,0.77014,1.04812,0.96652,0.93978,0.98462,0.58983,1.43045,0.67935,1.05228,0.00097775,0.00097775,0.00097775
13,309.987,1.38116,0.74877,1.0349,0.94664,0.93827,0.97795,0.59838,1.41483,0.69437,1.0351,0.000953,0.000953,0.000953
14,330.855,1.36671,0.73879,1.04494,0.958,0.95775,0.98045,0.57054,1.46516,0.67009,1.06256,0.00092825,0.00092825,0.00092825
15,352.421,1.36377,0.72581,1.03462,0.95885,0.95115,0.98221,0.60318,1.4083,0.68159,1.03139,0.0009035,0.0009035,0.0009035
16,373.246,1.36735,0.72023,1.04011,0.9634,0.95941,0.98664,0.61067,1.43572,0.64943,1.04877,0.00087875,0.00087875,0.00087875
17,394.23,1.34625,0.69326,1.03323,0.97785,0.96416,0.98811,0.62463,1.39648,0.63378,1.02821,0.000854,0.000854,0.000854
18,414.916,1.32019,0.69073,1.01287,0.97092,0.97567,0.98907,0.61374,1.41954,0.64128,1.02718,0.00082925,0.00082925,0.00082925
19,435.807,1.32113,0.6828,1.01822,0.95057,0.96139,0.98547,0.62887,1.40562,0.65282,1.02362,0.0008045,0.0008045,0.0008045
20,457.855,1.3283,0.67946,1.01648,0.95091,0.96808,0.9862,0.60983,1.40471,0.63629,1.0294,0.00077975,0.00077975,0.00077975
21,478.839,1.30087,0.66769,1.00521,0.97963,0.96049,0.99006,0.62711,1.3837,0.61961,1.0208,0.000755,0.000755,0.000755
22,499.778,1.2949,0.66057,1.00931,0.96632,0.98194,0.98972,0.61828,1.3634,0.59821,1.01323,0.00073025,0.00073025,0.00073025
23,520.637,1.28338,0.64497,1.00779,0.97344,0.97131,0.98769,0.63087,1.35913,0.59973,1.01773,0.0007055,0.0007055,0.0007055
24,541.335,1.26513,0.64157,0.99265,0.97074,0.98031,0.99153,0.63992,1.38217,0.60292,1.01779,0.00068075,0.00068075,0.00068075
25,562.166,1.24758,0.62458,1.00042,0.97,0.97037,0.98951,0.63833,1.34494,0.58651,1.00707,0.000656,0.000656,0.000656
26,583.412,1.26092,0.63304,0.98845,0.97622,0.97403,0.99249,0.63634,1.36668,0.60017,1.02395,0.00063125,0.00063125,0.00063125
27,604.214,1.23773,0.62412,0.98305,0.97659,0.97313,0.98874,0.62542,1.36754,0.59298,1.01452,0.0006065,0.0006065,0.0006065
28,625.001,1.2346,0.60321,0.98187,0.97053,0.97148,0.99282,0.64025,1.37529,0.5824,1.01523,0.00058175,0.00058175,0.00058175
29,646.131,1.20824,0.59295,0.98578,0.98263,0.99182,0.99262,0.63784,1.36102,0.56987,1.01269,0.000557,0.000557,0.000557
30,666.755,1.22477,0.60503,0.97297,0.9819,0.9691,0.99167,0.65228,1.35772,0.57444,1.00724,0.00053225,0.00053225,0.00053225
31,687.597,1.20393,0.58843,0.968,0.96002,0.97214,0.98989,0.63967,1.34003,0.57552,1.00863,0.0005075,0.0005075,0.0005075
32,708.792,1.19848,0.57493,0.9697,0.98353,0.97676,0.99064,0.63744,1.35353,0.57526,1.00963,0.00048275,0.00048275,0.00048275
33,729.747,1.19418,0.58285,0.97201,0.98124,0.95188,0.98838,0.63947,1.34051,0.5824,1.00943,0.000458,0.000458,0.000458
34,750.613,1.18416,0.56848,0.96294,0.9683,0.97626,0.98837,0.65305,1.35934,0.56727,1.00596,0.00043325,0.00043325,0.00043325
35,771.534,1.15783,0.55897,0.96208,0.97917,0.96793,0.98863,0.64037,1.34104,0.55737,1.00358,0.0004085,0.0004085,0.0004085
36,792.233,1.18015,0.55919,0.96303,0.97975,0.96989,0.9916,0.65612,1.32569,0.55555,1.00235,0.00038375,0.00038375,0.00038375
37,813.165,1.1671,0.55636,0.95937,0.97453,0.98056,0.99244,0.64899,1.33276,0.54343,1.00143,0.000359,0.000359,0.000359
38,833.961,1.16279,0.54687,0.95744,0.96904,0.98673,0.98982,0.65807,1.33893,0.53531,1.00399,0.00033425,0.00033425,0.00033425
39,854.629,1.15369,0.54196,0.95685,0.97331,0.97784,0.99005,0.64931,1.347,0.54672,1.00572,0.0003095,0.0003095,0.0003095
40,875.234,1.12631,0.53852,0.95474,0.9754,0.98701,0.99142,0.65328,1.32936,0.5422,1.00339,0.00028475,0.00028475,0.00028475
41,912.479,1.12698,0.50399,0.96851,0.98509,0.97527,0.99121,0.65378,1.32741,0.53894,1.00318,0.00026,0.00026,0.00026
42,931.416,1.1149,0.49204,0.9753,0.98169,0.96308,0.98958,0.65402,1.32252,0.54783,1.00239,0.00023525,0.00023525,0.00023525
43,950.326,1.1048,0.48454,0.96519,0.97999,0.98359,0.99007,0.65713,1.32469,0.53635,0.99999,0.0002105,0.0002105,0.0002105
44,969.096,1.09432,0.48086,0.95846,0.98384,0.97221,0.99017,0.65429,1.33502,0.53965,1.00471,0.00018575,0.00018575,0.00018575
45,987.962,1.08334,0.46994,0.95622,0.97866,0.97662,0.99078,0.66092,1.3268,0.54535,1.00229,0.000161,0.000161,0.000161
46,1007.07,1.07031,0.4674,0.95629,0.98192,0.97556,0.99053,0.66283,1.32628,0.5329,0.99975,0.00013625,0.00013625,0.00013625
47,1025.95,1.06043,0.46361,0.94585,0.98192,0.98244,0.99022,0.6695,1.30844,0.52347,0.99529,0.0001115,0.0001115,0.0001115
48,1044.77,1.04979,0.45819,0.94702,0.97671,0.98067,0.99012,0.66287,1.31575,0.5234,0.99705,8.675e-05,8.675e-05,8.675e-05
49,1063.93,1.04834,0.45469,0.94511,0.97777,0.97625,0.98898,0.66883,1.30371,0.51421,0.9934,6.2e-05,6.2e-05,6.2e-05
50,1082.86,1.02905,0.44669,0.93334,0.98211,0.97224,0.98978,0.66513,1.30872,0.52038,0.99562,3.725e-05,3.725e-05,3.725e-05
